"smis_reference","report_url","event_date","period","place","sub_event","description","narrative","surface_type","surface_material","impeded_by","organisations_involved","injured_workforce_role","injured_workforce_activity","summary_cause","detailed_cause","total_accidental_fwi_2013","injuries_summary_2013"
SMIS4336010,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/2461bc7d-2a22-478e-b12e-36ee444fd759#!/report,2022-10-10 18:45:00.000,202207,Crewe Jcn (Shrewsbury),slip trip or fall,PA. Shrewsbury DU staff tripped in the four foot at Crewe Jcn,"Whilst investigating a track circuit failure, IP (Site Warden) tripped in the four foot and fell injuring his right hand, nose and cut his forehead above the left eye. First aid given on site.",Level,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,Human performance factors,Other task carried out incorrectly,0.001,Workforce (on-duty): Non-severe
SMIS4335385,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/774b9a2e-c868-4ba5-9027-9625377f93f7#!/report,2022-10-11 12:29:00.000,202207,Carlisle Upperby,slip trip or fall,PA: Contractor fell backwards off a lorry cab steps when reaching for a hard hat at Carlisle and sustained bump to the head,Contractor working for Laser Drains was carrying out their duty when they reached for a hard hat from the cab of a lorry and fell backwards off the cab steps sustaining a minor bump to the head. They had forgotten they had stepped up causing them to fall back onto the ground.,Steps and stairs,,,"Network Rail, Other, CrossCountry",Other: Wagon Driver,,Human performance factors,Tripped over own feet/missed footing,0.001,Workforce (on-duty): Non-severe
SMIS4335509,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/60d6e5a6-8df3-43d1-9f80-5088dcd58396#!/report,2022-10-13 01:12:00.000,202207,Gaer Jcn,slip trip or fall,PA. Contractor slipped on a sleeper at Gaer Jcn,Report from PICOP of item 278 that a member of staff (contractor working for McGinley's) working in the possession has slipped on a concrete sleeper hitting his head during the fall. MOS has then believed to have suffered a seizure as a result of hitting his head. Ambulance has been called and he was taken to hospital.,Level,,,"McGinley Support Services (Infrastructure) Ltd, Network Rail",Track worker - Other,Duties to maintain track or infrastructure,Human performance factors,Other task carried out incorrectly,0.001,Workforce (on-duty): Non-severe
SMIS4335791,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/e12dfc14-88ca-4187-8998-053d81f47dcf#!/report,2022-10-18 02:00:00.000,202208,Barnes (Hounslow Line),slip trip or fall,PA (Clapham - Wessex Inner DU) - IP sustained a knee injuring after slipping on ballast and struck knee on a bolt coming out of rail at Barnes. LT = Not anticipated.,"At 04:20 hours whilst working at Barnes on the return cable lug, whilst re-lugging the cable, IP slipped on ballast and banged their left kneecap on a bolt coming out of the rail. The IP was fit to carry on at the time, but the left knee started to swell up and flexibility in knee joint lessened. They returned back to the depot and rested injured knee where first aid being given. Location: Barnes. Injury: Swelling sustained to left knee. Lost time? Not anticipated.",Level,,,Network Rail,Track worker - Other,Inspecting track,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4335792,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/6da03b96-13a5-4a0d-b149-6f221919d6a5#!/report,2022-10-18 02:49:00.000,202208,Bourne End (WCML),slip trip or fall,PA - Watford DU - Team Leader sprained ankle whilst walking in the 4ft at Bourne End Jcn.,"A Watford Delivery Unit Team Leader whilst walking from Winkwell Bridge Access, south to 25m 25ch site in the four foot of the up slow stood on a piece of ballast and rolled their ankle.  The individual felt the pain instantly but was able to carry on the duties as it did not feel too bad at the time.  Later on, back at the depot the individual's ankle had begun to swell up and then no pressure could be applied, individual was unable to walk without the pain.  Lost time expected.",,,,Network Rail,Signalling technician,Other duties,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4335991,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/6560ee8f-286e-45cf-8def-72d22d92cc5c#!/report,2022-10-22 03:39:00.000,202208,Hither Green,slip trip or fall,PA - London Bridge DU Contractor had slipped on troughing lid at Hither Green and hurt his right ankle. SCO 51201,"IP had slipped on troughing lid and hurt his right ankle.  He had been told to rest and went to the work van and elevated it.  He would seek hospital / medical attention if needed. 6hr Update:  IP explained that he was stepping down from London side of Hither Green Platform 1 ramp end and slipped on a troughing lid, twisting his right ankle and injuring it at approximately 03:00. IP confirmed that he feels fine, he was in no pain, he was not limping, he just stated that his ankle felt funny when he walked on it. IP felt that he had not sustained any injuries – IP advised to go to minor injuries unit or accident and emergency for his ankle to be checked.  IP stated that he will “see how it goes”, as he does not feel he needed his ankle to be checked.  IP was due into work tonight 1800 – 0600, He stated that he was intending on coming in. He said the only the only reason he would not was he had a “poorly tummy” yesterday afternoon & night. IP was asked to email in a written statement of what happened last night.",Unknown,,,"Coyle Personnel Plc, Network Rail, Southeastern",Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4337589,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/94de63bb-5ba9-4c59-b909-ab8669ab3efd#!/report,2022-10-22 12:00:00.000,202208,Girvan,slip trip or fall,PA Motherwell DU: MOS slipped over at Girvan after being charged by a cow and injured back. IRIS 23890,MOS was charged at by cow at his front and fell over managed to grab tree that stopped him falling down 60ft embankment. MOS now has sore back/whiplash,Unknown,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4336074,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/cc84ef2d-b9fa-46f5-8532-d457cee9077b#!/report,2022-10-23 04:30:00.000,202208,Lichfield City,slip trip or fall,PA - Route Services - Operative sustained bruising and swelling to ankle due to tripping down step on train at Lichfield City. IRIS 23862,"We are working for OCR on the OLET train at Lichfield city station. A colleague tripped down a step on the train and has bruising and swelling around his left ankle.  No first was given on site, and there was no need for him to attend hospital. Individual was able to continue his shift without issue. Accident form will be completed shortly. No lost time confirmed.",Steps and stairs,,,Network Rail,,,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4336121,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/f862c1f6-c98c-42d6-ab76-41dbe0a7d3bc#!/report,2022-10-23 14:00:00.000,202208,Lichfield Trent Valley (WCML),slip trip or fall,"PA - CD Signalling - MOS slipped in the rain and sprained his left wrist, from putting it down to cushion his fall at Lichfield Trent Valley. SCO 51216","Location - Trent Valley Station In The Compound LEC2, Project Contractor - Siemens Rail Automation MOS slipped in the rain and sprained his left wrist, from putting it down to cushion his fall. MOS did not think that he was in that much pain, so no first aid or hospital treatment was required. Minor injury (no lost time).",,,,"Network Rail, Siemens Mobility",,,"Infrastructure, vehicles, equipment and clothing",Slippery surface,0.001,Workforce (on-duty): Non-severe
SMIS4336260,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/87d80884-bdb4-418a-a211-bbc4a49a08c4#!/report,2022-10-25 23:45:00.000,202208,Wigton,slip trip or fall,PA: Track technician slipped on ballast at Wigton and hit their knee on a metal sleeper,Track technician was carrying out patrolling when they slipped on ballast and hit their knee on a metal sleeper which was covered in ballast. IP was undertaking a basic visual inspection (BVI) on the Cumbrian Coast (CBC3) during a nightshift (in darkness). The patrol was undertaken within the 4ft and whilst walking the IP tripped on loose ballast causing a fall and an impact to their right knee on to ballast on the sleeper.  Immediate cause: Tripped causing a fall. Underlying cause: Loose ballast within the 4ft which the IP tripped on.  Undue care and attention whilst walking. Remedial actions: Brief findings of accident to wider team to ensure there is no re-occurrence.,Level,,,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,"Cause not known; Human performance factors; Infrastructure, vehicles, equipment and clothing",Cause not known; Distracted or not paying attention; Uneven,0.001,Workforce (on-duty): Non-severe
SMIS4336258,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/9a56988f-d91f-4d5b-85f6-690be48dcca2#!/report,2022-10-26 01:30:00.000,202208,Spital,slip trip or fall,PA: Apprentice tripped over running rail whilst carrying materials at Spital and sprained ankle,Apprentice tripped over running rail whilst carrying materials at Spital.  Bruised and sprained ankle.,Level,,Other: unspecified materials,Network Rail,Track worker - Other,Duties to maintain track or infrastructure,Cause not known,Cause not known,0.001,Workforce (on-duty): Non-severe
SMIS4336530,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/f32bf97c-2b48-48e8-b409-f2c23ba0639e#!/report,2022-10-26 14:15:00.000,202208,Holgate Jcn,slip trip or fall,PA - Supplier visiting Works Delivery at the Holgate Depot tripped over and fractured his right wrist - IRIS-24052,"Visiting supplier from VSC attended the Holgate depot after an invite from a member of the works delivery team based at Holgate.   He entered the building at 14:15 through a temporary walking route within bay 4 he tripped over and damaged his right wrist as he landed. This was not reported at the time as he claimed there was no one to report it to, and it transpired that the member of works delivery he was due to meet was not in the depot. Later that evening the pain got worse he went to A&E where it was discovered he had fractured his wrist.  It is understood that there was no obstruction causing him to trip, but his ankle gave way resulting in the fall.  A Level 1 investigation to be undertaken starting tomorrow, 1st November 2022",Level,,,"Network Rail, Other, CrossCountry",,,Cause not known,Cause not known,0.125,Workforce (on-duty): Specified
SMIS4336379,https://smisplus-build.gaelstaging.com/Reporting/Report/Index/fdf02c4f-777c-49ff-a2e3-15789fe26eb0#!/report,2022-10-29 10:00:00.000,202208,Nuneaton,slip trip or fall,"PA - Operations - MOM bruised/twisted their ankle due to slipping on a wet surface at Marson Lane, Nuneaton. IRIS 24042",The Nuneaton MOM arrived at Marston Lane stepped out of vehicle moved some equipment clear to gain access to the line slipped on wet surface and rolled the ankle unable to continue duty. No first aid given. No lost time confirmed.,,,,Network Rail,Other: MOM,,"Infrastructure, vehicles, equipment and clothing",Slippery surface,0.001,Workforce (on-duty): Non-severe
